country_name,country_code,indicator_name,indicator_code,debt
Afghanistan,AFG,"GG, bonds (NTR, current US$)",DT.NTR.PBND.GG.CD,0
Afghanistan,AFG,"GG, bonds (TDS, current US$)",DT.TDS.PBND.GG.CD,0
Afghanistan,AFG,"GG, commercial banks (AMT, current US$)",DT.AMT.PCBK.GG.CD,0
Afghanistan,AFG,"GG, commercial banks (DIS, current US$)",DT.DIS.PCBK.GG.CD,0
Afghanistan,AFG,"GG, commercial banks (DOD, current US$)",DT.DOD.PCBK.GG.CD,0
Afghanistan,AFG,"GG, commercial banks (INT, current US$)",DT.INT.PCBK.GG.CD,0
Afghanistan,AFG,"GG, commercial banks (NFL, current US$)",DT.NFL.PCBK.GG.CD,0
Afghanistan,AFG,"GG, commercial banks (NTR, current US$)",DT.NTR.PCBK.GG.CD,0
Afghanistan,AFG,"GG, commercial banks (TDS, current US$)",DT.TDS.PCBK.GG.CD,0
Afghanistan,AFG,"GG, multilateral (AMT, current US$)",DT.AMT.MLAT.GG.CD,529808844
Afghanistan,AFG,"GG, multilateral (DIS, current US$)",DT.DIS.MLAT.GG.CD,726552226
Afghanistan,AFG,"GG, multilateral (DOD, current US$)",DT.DOD.MLAT.GG.CD,15704463535
Afghanistan,AFG,"GG, multilateral (INT, current US$)",DT.INT.MLAT.GG.CD,195964029
Afghanistan,AFG,"GG, multilateral (NFL, current US$)",DT.NFL.MLAT.GG.CD,568035000
Afghanistan,AFG,"GG, multilateral (NTR, current US$)",DT.NTR.MLAT.GG.CD,453350000
Afghanistan,AFG,"GG, multilateral (TDS, current US$)",DT.TDS.MLAT.GG.CD,725772873
Afghanistan,AFG,"GG, multilateral concessional (AMT, current US$)",DT.AMT.MLTC.GG.CD,135242515
Afghanistan,AFG,"GG, multilateral concessional (DIS, current US$)",DT.DIS.MLTC.GG.CD,585567236
Afghanistan,AFG,"GG, multilateral concessional (DOD, current US$)",DT.DOD.MLTC.GG.CD,14152934617
Afghanistan,AFG,"GG, multilateral concessional (INT, current US$)",DT.INT.MLTC.GG.CD,99403688
Afghanistan,AFG,"GG, multilateral concessional (NFL, current US$)",DT.NFL.MLTC.GG.CD,450324721
Afghanistan,AFG,"GG, multilateral concessional (NTR, current US$)",DT.NTR.MLTC.GG.CD,350921033
Afghanistan,AFG,"GG, multilateral concessional (TDS, current US$)",DT.TDS.MLTC.GG.CD,234646204
Afghanistan,AFG,"GG, official creditors (AMT, current US$)",DT.AMT.OFFT.GG.CD,934586011
Afghanistan,AFG,"GG, official creditors (DIS, current US$)",DT.DIS.OFFT.GG.CD,843584599
Afghanistan,AFG,"GG, official creditors (DOD, current US$)",DT.DOD.OFFT.GG.CD,30816576790
Afghanistan,AFG,"GG, official creditors (INT, current US$)",DT.INT.OFFT.GG.CD,305661988
Afghanistan,AFG,"GG, official creditors (NFL, current US$)",DT.NFL.OFFT.GG.CD,665041017
Afghanistan,AFG,"GG, official creditors (NTR, current US$)",DT.NTR.OFFT.GG.CD,549910403
Afghanistan,AFG,"GG, official creditors (TDS, current US$)",DT.TDS.OFFT.GG.CD,1240247999
Afghanistan,AFG,"GG, other private creditors (AMT, current US$)",DT.AMT.PROP.GG.CD,0
Afghanistan,AFG,"GG, other private creditors (DIS, current US$)",DT.DIS.PROP.GG.CD,0
Afghanistan,AFG,"GG, other private creditors (DOD, current US$)",DT.DOD.PROP.GG.CD,0
Afghanistan,AFG,"GG, other private creditors (INT, current US$)",DT.INT.PROP.GG.CD,0
Afghanistan,AFG,"GG, other private creditors (NFL, current US$)",DT.NFL.PROP.GG.CD,0
Afghanistan,AFG,"GG, other private creditors (NTR, current US$)",DT.NTR.PROP.GG.CD,0
Afghanistan,AFG,"GG, other private creditors (TDS, current US$)",DT.TDS.PROP.GG.CD,0
Afghanistan,AFG,"GG, private creditors (AMT, current US$)",DT.AMT.PRVT.GG.CD,0
Afghanistan,AFG,"GG, private creditors (DIS, current US$)",DT.DIS.PRVT.GG.CD,0
Afghanistan,AFG,"GG, private creditors (DOD, current US$)",DT.DOD.PRVT.GG.CD,0
Afghanistan,AFG,"GG, private creditors (INT, current US$)",DT.INT.PRVT.GG.CD,0
Afghanistan,AFG,"GG, private creditors (NFL, current US$)",DT.NFL.PRVT.GG.CD,0
Afghanistan,AFG,"GG, private creditors (NTR, current US$)",DT.NTR.PRVT.GG.CD,0
Afghanistan,AFG,"GG, private creditors (TDS, current US$)",DT.TDS.PRVT.GG.CD,0
Afghanistan,AFG,GNI (current US$),NY.GNP.MKTP.CD,220949687878
Afghanistan,AFG,"Grants, excluding technical cooperation (current US$)",BX.GRT.EXTA.CD.DT,63277580000
Afghanistan,AFG,IDA grants (current US$),DT.DIS.IDAG.CD,3435390805
